_ y o	0.0113646091677185
y o u	0.0106752152080344
_ l o	0.00945350585561985
o n e	0.0094302686589687
t _ l	0.00914634146341465
l o n	0.00898943459331958
o h _	0.00823170731707315
_ o o	0.00823170731707315
o o h	0.00823170731707315
n e l	0.00766247635428951
e l y	0.00766247635428951
_ h o	0.00701219512195124
_ t h	0.0069123890732879
e t _	0.00670731707317075
_ g e	0.00640243902439025
g e t	0.00640243902439025
k e _	0.00609756097560975
t h e	0.0059045546466323
o o _	0.00579268292682925
l y _	0.00562226767847511
I _ g	0.0054878048780488
_ t o	0.0054878048780488
o h \n	0.0054878048780488
l l _	0.00531210202197351
s t _	0.0051829268292683
_ a n	0.00518292682926829
j u s	0.0048780487804878
u s t	0.0048780487804878
o u \n	0.0048780487804878
o _ o	0.00457317073170732
h _ h	0.00457317073170732
h o h	0.00457317073170732
n d _	0.0043852954004093
e _ y	0.00426829268292683
i k e	0.00426829268292683
_ l i	0.00426829268292683
\n I _	0.00426829268292683
l i k	0.00426829268292683
_ I _	0.00396341463414634
h _ o	0.00365853658536586
i n _	0.0035060975609756
h e _	0.00340106698078991
_ s o	0.00311084644546582
t o o	0.00304878048780488
y _ t	0.00304878048780488
\n j u	0.00304878048780488
t o _	0.00304878048780488
u \n I	0.00304878048780488
a c e	0.00274390243902439
h o o	0.00274390243902439
